Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
NRCAM,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
NT5C1B-RDH14,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
OGFOD2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
OSM,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PER3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
PPFIBP2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
PPM1F,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
PTGDR2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
RAB30,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
RAB6B,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
RDH14,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
RUSC2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SAR1A,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SATB2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
SHC1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SIGLEC8,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SLC16A1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SLC38A11,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SLC5A3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
SPTB,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
SPTSSA,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
STPG4,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
TIPRL,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
TMEM132E,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
TNKS,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
TNPO2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
TP53BP2,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
TRPC4AP,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
TTC32,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
UBE2M,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
UBP1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
VN1R1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
WDR43,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
ZDBF2,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
ZNF20,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
ZNF250,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
ZNF408,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
A1BG,0,0,0,-1,-1,-1,0,0,3,-3,-9,1.Unperturbed
AAAS,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AARS1,-1,0,0,-1,0,0,-1,NA,3,-3,-9,1.Unperturbed
ABHD10,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ABHD5,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
