Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
ANKRD36,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ANKS6,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AP1S1,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
AP3B1,-1,0,0,0,-1,0,-1,0,3,-3,-9,1.Unperturbed
APH1A,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
APH1B,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
APOBEC3D,0,0,0,-1,0,0,-1,-1,3,-3,-9,1.Unperturbed
APOL1,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
APTX,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ARF6,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ARFIP2,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ARHGAP18,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ARHGAP21,0,0,0,1,0,1,1,0,3,3,9,1.Unperturbed
ARHGEF1,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ARL16,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ARPC4-TTLL3,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
ASAH1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ASAP1,0,0,0,1,0,1,1,0,3,3,9,1.Unperturbed
ASXL2,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ATG14,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ATP5MC2,0,0,-1,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
B3GALT2,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
B3GLCT,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
B4GALT1,0,0,0,1,1,1,0,0,3,3,9,1.Unperturbed
B4GALT6,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
BAZ2B,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BCAS2,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
BCL2L2,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
BCL2L2-PABPN1,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
BCLAF1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BCOR,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
BDP1,1,0,0,0,1,0,1,0,3,3,9,1.Unperturbed
